
Similarity
Label,n,Moraga Fm sediments (MV24-1; this study),Orinda Fm (OR24-1; this study),"Orinda Fm (JG-BH5; Gooley et al., 2021)","Briones Fm (JG-BH8; Gooley et al., 2021)",Claremont Fm sandstone (CSUF-4; this study),Great Valley Group (Sharman et al. 2015),"Franciscan Complex (Bero et al., 2020)","Sierra magmatic (Chapman et al., 2012)"
Moraga Fm sediments (MV24-1; this study),96,0.9984121858486593,0.9234662967587907,0.8670773564561827,0.840759800007844,0.8892010294788791,0.8965240643151932,0.9091644646718278,0.8434381603059864
Orinda Fm (OR24-1; this study),109,0.9234662967587907,0.9993812119544248,0.8777437160032073,0.8194516736189622,0.843990040695777,0.8932500566399456,0.9302657745608993,0.8596741269541872
"Orinda Fm (JG-BH5; Gooley et al., 2021)",102,0.8670773564561827,0.8777437160032073,0.9991038259410371,0.853577571335262,0.8738919610026524,0.9061451383826037,0.9067209646452005,0.8696408770970824
"Briones Fm (JG-BH8; Gooley et al., 2021)",115,0.840759800007844,0.8194516736189622,0.853577571335262,0.991445376667871,0.9303888784414158,0.8020288111604456,0.7951077536341764,0.8214586248200136
Claremont Fm sandstone (CSUF-4; this study),169,0.8892010294788791,0.843990040695777,0.8738919610026524,0.9303888784414158,0.9932859684885252,0.8441315997102726,0.8117974328070774,0.8812996033990503
Great Valley Group (Sharman et al. 2015),375,0.8965240643151932,0.8932500566399456,0.9061451383826037,0.8020288111604456,0.8441315997102726,0.9994423907638488,0.9494084824320933,0.9244559706319005
"Franciscan Complex (Bero et al., 2020)",1273,0.9091644646718278,0.9302657745608993,0.9067209646452005,0.7951077536341764,0.8117974328070774,0.9494084824320933,0.9994423907638488,0.8684032768870987
"Sierra magmatic (Chapman et al., 2012)",653,0.8434381603059864,0.8596741269541872,0.8696408770970824,0.8214586248200136,0.8812996033990503,0.9244559706319005,0.8684032768870987,0.9994423907638487

Likeness
Label,n,Moraga Fm sediments (MV24-1; this study),Orinda Fm (OR24-1; this study),"Orinda Fm (JG-BH5; Gooley et al., 2021)","Briones Fm (JG-BH8; Gooley et al., 2021)",Claremont Fm sandstone (CSUF-4; this study),Great Valley Group (Sharman et al. 2015),"Franciscan Complex (Bero et al., 2020)","Sierra magmatic (Chapman et al., 2012)"
Moraga Fm sediments (MV24-1; this study),96,1.0,0.7890819160201181,0.6957430038131445,0.6168019142338179,0.6524307099703524,0.7514280683212214,0.804500172967838,0.6045798875255451
